time,BTC,ETH,SOL,XRP,BNB,USDT,ADA,DOT,LUNA,DOGE,price,logPrice,return,signal,residual,residualFeature,equity,share,cPlus,equityWithoutFee,cMinus,logEquity,portReturn,downsideReturn,drawdown
2021-09-03 07:00:00,49281.82,3795.69,144.65,1.261,483.9,0.9999,2.946,32.91,33.04,0.2922,49281.82,10.80531052934362,-0.0026469639929391775,0.0,-132.7002964830972,-0.34573713014340934,101.16311520780302,0.0020527471430195356,0.0,101.16311520780302,-0.24573713014340937,4.616734216185294,-0.0026469639929382893,0.0026469639929382893,-1.7869779704127922
2021-09-03 08:00:00,50004.36,3891.13,141.08,1.2790000000000001,489.23,1.0,2.997,33.19,32.97,0.2977,50004.36,10.819865480608584,0.014554951264964089,0.0,720.3228934642539,1.876728059870235,102.64630712852035,0.0020527471430195356,1.656728059870235,102.64630712852035,0.0,4.631289167450257,0.0145549512649632,0.0,-0.30378604969546075
2021-09-03 09:00:00,50110.43,3966.3,143.03,1.278,488.41,1.0,2.988,32.87,33.45,0.2981,50110.43,10.821984449038485,0.0021189684299010025,0.0,104.81946527022956,0.2730964592103382,102.86404201798042,0.0020527471430195356,,102.86404201798042,0.0,4.633408135880158,0.0021189684299010025,0.0,-0.08605116023538528
2021-09-03 10:00:00,49817.23,3947.69,141.21,1.2690000000000001,486.76,0.9995,2.969,32.71,33.26,0.2965,49817.23,10.816116187109847,-0.005868261928638319,0.0,-294.6456159158115,-0.7676691940853779,102.2621765556471,0.0020527471430195356,0.0,102.2621765556471,-0.667669194085378,4.6275398739515206,-0.0058682619286374305,0.0058682619286374305,-0.6879166225687072
2021-09-03 11:00:00,50195.62,3954.88,139.38,1.2790000000000001,489.58,1.0,2.984,32.76,33.28,0.2985,50195.62,10.823683050877214,0.007566863767367593,0.0,376.527903406728,0.981005168736294,103.03891554709426,0.0020527471430195356,0.761005168736294,103.03891554709426,0.0,4.635106737718888,0.007566863767367593,0.0,0.0
2021-09-03 12:00:00,50666.91,3951.96,139.32,1.285,492.13,1.0,2.9810000000000003,32.91,33.2,0.2996,50666.91,10.83302831378035,0.00934526290313542,0.0,470.0361993136685,1.2246315262371927,104.00635474812795,0.0020527471430195356,,104.00635474812795,0.0,4.644452000622024,0.00934526290313542,0.0,0.0
2021-09-03 13:00:00,50726.43,3964.42,142.63,1.276,493.11,1.0,2.9810000000000003,32.96,32.97,0.2989,50726.43,10.834202355523855,0.0011740417435053274,0.0,58.686082826476195,0.15290062187893266,104.12853425808046,0.0020527471430195356,,104.12853425808046,0.0,4.645626042365529,0.0011740417435053274,0.0,0.0
2021-09-03 14:00:00,50725.73,3980.86,140.5,1.281,491.99,1.001,2.9819999999999998,32.65,32.46,0.2986,50725.73,10.834188555916239,-1.3799607616604703e-05,0.0,-1.6733949014960672,-0.004359860272908715,104.12709733508035,0.0020527471430195356,0.0,104.12709733508035,0.0,4.6456122427579105,-1.379960761838106e-05,1.379960761838106e-05,-0.0014369230001136657
2021-09-03 15:00:00,50587.65,3969.65,140.07,1.3019999999999998,493.33,1.0,3.009,32.86,32.16,0.3011,50587.65,10.831462754339102,-0.002725801577136977,0.0,-139.08141435955622,-0.3623624839684083,103.84365400957222,0.0020527471430195356,0.0,103.84365400957222,-0.26236248396840833,4.642886441180775,-0.0027258015771352007,0.0027258015771352007,-0.28488024850824445
2021-09-03 16:00:00,50497.47,3971.1,142.54,1.301,492.93,1.0,2.989,33.88,32.25,0.3004,50497.47,10.829678514998553,-0.001784239340548055,0.0,-91.35448011202243,-0.23801480943712075,103.65853727221472,0.0020527471430195356,0.0,103.65853727221472,0.0,4.641102201840226,-0.0017842393405489432,0.0017842393405489432,-0.46999698586574823
